Account,date,daily_pnl,win_rate,avg_trade_size,trade_count,avg_leverage,long_short_ratio,classification,leverage_segment,activity_segment,consistency_segment,profit_flag
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,0.49635036496350365,125.00722627737227,137,125.00722627737227,-0.8888888724279839,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,0.6695652173913044,131.2383043478261,230,131.2383043478261,-0.91428570122449,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,0.430939226519337,112.67668508287292,181,112.67668508287292,-0.8666666474074078,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,0.418848167539267,124.92068062827224,191,124.92068062827224,-0.9999999777777784,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,0.39215686274509803,197.00485294117647,204,197.00485294117647,-0.5624999941406251,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,0.5721649484536082,289.6046907216495,194,289.6046907216495,-0.4285714217687076,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,0.5046728971962616,215.33785046728974,107,215.33785046728974,-0.7647058598615925,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,0.5189873417721519,174.83481012658228,79,174.83481012658228,-0.7560975425342064,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,0.30526315789473685,212.30473684210526,95,212.30473684210526,-0.24324323666910172,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,0.3125,282.42354166666667,48,282.42354166666667,-0.6571428383673475,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,0.45454545454545453,284.1157575757576,66,284.1157575757576,-0.7647058598615925,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,0.3333333333333333,223.8904761904762,84,223.8904761904762,-0.44186045484045455,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,0.3561643835616438,221.81794520547948,73,221.81794520547948,-0.3207547109291564,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,0.36507936507936506,166.3415873015873,63,166.3415873015873,-0.6470588044982705,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,0.5,140.99176470588236,34,140.99176470588236,-0.9047618616780065,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,0.336,455.63544,125,455.63544,-0.4062499936523439,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,0.29906542056074764,1121.107570093458,107,1121.107570093458,0.07499999906250002,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,0.3559322033898305,263.3476271186441,59,263.3476271186441,-0.7777777561728402,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,0.45544554455445546,217.69336633663366,101,217.69336633663366,-0.6666666592592594,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,0.5217391304347826,217.15115942028987,69,217.15115942028987,-0.3684210461680518,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,0.49382716049382713,156.68296296296296,81,156.68296296296296,-0.34177214757250446,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,0.5365853658536586,101.1840243902439,82,101.1840243902439,-0.804878038964902,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,0.2625,82.075375,80,82.075375,-0.9999999870129872,Extreme Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,0.6990291262135923,103.70087378640777,103,103.70087378640777,-0.9999999886363637,Extreme Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,0.5704697986577181,489.99302013422823,149,489.99302013422823,0.022556390807846684,Greed,Low,High,Consistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,0.47572815533980584,728.4078640776698,103,728.4078640776698,0.6956521663516069,Greed,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,0.44047619047619047,522.1204761904762,84,522.1204761904762,0.11111110973936902,Neutral,Low,High,Inconsistent,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,0.43243243243243246,484.2756756756757,37,484.2756756756757,0.5135134996347703,Greed,Low,High,Inconsistent,1
